lat,lon,ghi_pvgis_kwh_m2_day,pvout_kwh_kwp,optimal_tilt_deg
52.9,-7.949999999999999,2.6574520547945206,770.2,0.0
52.9,-7.699999999999999,2.6937808219178083,780.88,0.0
52.9,-7.449999999999999,2.693178082191781,780.31,0.0
52.9,-7.199999999999999,2.675808219178082,776.36,0.0
52.9,-6.949999999999999,2.7263287671232876,791.13,0.0
52.9,-6.699999999999999,2.6776438356164385,775.53,0.0
52.9,-6.449999999999999,2.6695616438356162,775.25,0.0
52.9,-6.199999999999999,2.825013698630137,823.0,0.0
52.9,-5.949999999999999,,,
52.9,-5.699999999999999,,,
52.9,-5.449999999999999,,,
52.9,-5.199999999999999,,,
52.9,-4.949999999999999,,,
52.9,-4.699999999999999,,,
52.9,-4.449999999999999,2.824520547945206,828.98,0.0
52.9,-4.199999999999999,,,
52.9,-3.9499999999999993,2.518657534246575,730.36,0.0
52.9,-3.6999999999999993,2.539315068493151,739.02,0.0
52.9,-3.4499999999999993,2.539013698630137,741.68,0.0
52.9,-3.1999999999999993,2.7261643835616436,793.77,0.0
52.9,-2.9499999999999993,2.779095890410959,805.41,0.0
52.9,-2.6999999999999993,2.7750958904109586,802.12,0.0
52.9,-2.4499999999999993,2.7515616438356165,796.56,0.0
52.9,-2.1999999999999993,2.7633972602739725,800.91,0.0
52.9,-1.9499999999999993,2.760958904109589,800.36,0.0
52.9,-1.6999999999999993,2.7861095890410956,808.68,0.0
52.9,-1.4499999999999993,2.799041095890411,811.52,0.0
52.9,-1.1999999999999993,2.8019726027397263,812.45,0.0
52.9,-0.9499999999999993,2.8217808219178084,817.76,0.0
52.9,-0.6999999999999993,2.85241095890411,827.32,0.0
52.9,-0.4499999999999993,2.89627397260274,839.97,0.0
52.9,-0.1999999999999993,2.9112876712328766,844.17,0.0
52.9,0.05000000000000071,2.9331232876712328,850.92,0.0
52.9,0.3000000000000007,,,
52.9,0.5500000000000007,2.916904109589041,853.34,0.0
52.9,0.8000000000000007,2.9195616438356167,855.22,0.0
52.9,1.0500000000000007,2.9151780821917805,853.86,0.0
52.9,1.3000000000000007,2.9526575342465753,865.07,0.0
52.9,1.5500000000000007,,,
52.9,1.8000000000000007,,,
53.15,-8.2,2.682931506849315,777.42,0.0
53.15,-7.949999999999999,2.648876712328767,766.68,0.0
53.15,-7.699999999999999,2.544109589041096,736.79,0.0
53.15,-7.449999999999999,2.6927945205479453,781.65,0.0
53.15,-7.199999999999999,2.7104109589041094,785.19,0.0
53.15,-6.949999999999999,2.6813150684931504,776.44,0.0
53.15,-6.699999999999999,2.5964109589041096,752.08,0.0
53.15,-6.449999999999999,2.479013698630137,723.8,0.0
53.15,-6.199999999999999,2.718,798.82,0.0
53.15,-5.949999999999999,,,
53.15,-5.699999999999999,,,
53.15,-5.449999999999999,,,
53.15,-5.199999999999999,,,
53.15,-4.949999999999999,,,
